Refcode    FHe,T(-)   Density(g/cm3)   PoreVolume(cm3/g)   SAC,T(A2) SAC,T(m2/g) SAC,T(m2/cm3)
ADURUN     0.112606     1.504     0.0749     13.373958  2.602919  3.914236
ADUSOI     0.645474     0.878     0.7355     2095.514522  623.383705  547.094066
ADUVAY     0.420278     1.554     0.2705     5103.442683  851.017176  1322.376713
AFAREH     0.0895511     1.978     0.0453     16.394371  1.668995  3.300964
AFARIL     0.0841296     2.107     0.0399     1.152781  0.113502  0.239127
AFAROR     0.0785832     2.122     0.0370     0.211625  0.020735  0.044001
AFARUX     0.0791331     2.022     0.0391     7.236763  0.728412  1.472557
AFAWAH     0.300855     1.319     0.2281     99.027395  21.194766  27.960840
AFECEV     0.0633775     1.234     0.0514     1.929542  0.479010  0.590989
AFECIY01     0.238267     1.592     0.1497     32.160861  6.234162  9.922891
AFECIY     0.234611     1.570     0.1495     63.221336  12.255021  19.236947
AFEDAR     0.314592     1.414     0.2225     511.214020  121.884143  172.365642
AFEGIE     0.320127     1.245     0.2570     305.299643  84.650260  105.428132
AFEHAV     0.24078     1.031     0.2336     103.158779  29.996536  30.912535
AFEHOI     0.188732     1.377     0.1370     21.462877  4.400869  6.061327
AFEJAW     0.198384     1.368     0.1450     32.646265  6.693974  9.158142
AFEJEA     0.531428     0.841     0.6321     5969.621905  1155.783762  971.726344
AFEJEB     0.545842     1.106     0.4935     3743.423318  1390.072623  1537.431012
AFEJIE     0.538071     0.868     0.6200     5256.874328  1017.788076  883.353691
AFEJUQ     0.396052     1.144     0.3461     593.369725  132.480604  151.602501
AFEKAY     0.48131     0.861     0.5588     1550.235758  544.715054  469.166898
AFELII     0.198789     1.499     0.1326     436.418226  62.972632  94.414601
AFENEE     0.322514     1.249     0.2582     9.630592  2.152566  2.688630
AFENUX     0.261031     1.573     0.1660     5.210532  0.951534  1.496396
AFIJUX     0.462818     1.024     0.4518     2553.611106  574.853119  588.895735
AFIKAE     0.498584     1.009     0.4940     1710.390270  761.182798  768.245597
AFIKEI     0.497306     1.026     0.4849     1611.345733  706.094898  724.198871
AFIKIM     0.479614     1.062     0.4514     1373.068509  595.670100  632.842888
AFILEH     0.378469     1.077     0.3513     2305.549868  650.120390  700.307590
AFITEP     0.491245     1.069     0.4594     424.078398  131.418483  140.527608
AFIWAQ     0.214671     1.393     0.1541     1549.165718  155.382487  216.444451
AFOFUX     0.375553     2.910     0.1291     1810.636012  156.588727  455.629500
AFOGAE     0.238634     2.576     0.0926     410.971583  54.843097  141.281977
AFOXAX     0.259997     1.463     0.1777     740.236177  156.177329  228.482122
AFUJUG     0.590998     1.077     0.5487     4652.981101  1321.549783  1423.378473
AFUMIY     0.297077     1.467     0.2025     1176.691813  129.339617  189.737378
AFUWEG     0.529846     1.030     0.5143     2842.050420  1024.298869  1055.361921
AGABUF     0.55546     1.288     0.4313     3415.476818  750.168651  966.060579
AGADIW     0.290819     1.101     0.2642     412.777620  112.123378  123.405616
AGADOC     0.350291     1.060     0.3306     847.261764  229.392044  243.047493
AGADUI     0.358051     1.046     0.3423     1147.506299  312.722446  327.151687
AGAFAQ     0.361851     1.036     0.3493     1624.033290  439.699195  455.517676
AGAFEU     0.38609     0.997     0.3872     3637.106842  984.729168  981.782502
AGAFIY     0.403296     0.969     0.4162     3952.188340  1070.035967  1036.831692
AGAMAZ     0.142312     1.285     0.1108     386.033627  81.158593  104.269689
AGAREG     0.181744     1.599     0.1137     17.925533  3.580893  5.726383
AGASOR01     0.739358     0.659     1.1226     4780.445553  2350.512886  1548.144561
AGASOR     0.750195     0.627     1.1974     4236.770905  3124.787584  1957.691118
AGASUX     0.274422     1.162     0.2363     97.684574  32.805196  38.105182
AGAWOU     0.647808     1.020     0.6351     4771.075725  1345.658836  1372.540207
AGAYAI     0.755282     0.643     1.1747     11372.518818  3225.474945  2073.755457
AGEDIC     0.573687     1.310     0.4381     3430.862448  714.589328  935.788517
AGENPC11     0.331362     1.585     0.2091     10.914122  2.038054  3.229526
AGEQEK     0.654515     0.772     0.8482     16370.850343  2179.371495  1681.737468
AGETUE     0.588522     1.101     0.5343     3011.748822  956.905742  1053.959822
AGILEH     0.779444     0.373     2.0906     6983.511260  6182.990849  2305.242495
AGIMIN     0.248335     1.055     0.2353     172.246460  50.632851  53.441354
AGIMIO     0.24222     1.630     0.1486     135.354739  18.453366  30.078221
AGOHOV     0.324121     1.356     0.2390     423.246875  119.894105  162.606053
AGONAM     0.467437     1.438     0.3251     3492.618040  602.672077  866.450495
AGONEQ     0.664431     1.083     0.6138     4473.917154  1548.294968  1676.084706
AGOPER     0.463369     0.885     0.5234     1747.664258  282.611407  250.218427
AGOPUI     0.161776     1.943     0.0833     657.146067  75.180972  146.059142
AGOVID     0.82983     0.642     1.2922     4999.467993  2861.137296  1837.433293
AGOWAW     0.781206     0.746     1.0471     3347.116542  2097.535019  1564.971093
AGOWEA     0.666722     1.190     0.5601     8529.461072  824.917052  981.944453
AGOWIE     0.275511     1.258     0.2191     80.672093  9.884075  12.430243
AGOWIF     0.550916     0.725     0.7596     5594.650704  2050.875345  1487.373375
AGOXAV     0.20738     1.081     0.1919     445.607033  105.618003  114.149291
AGOXOK     0.18032     2.032     0.0887     186.870108  15.150686  30.790466
AGOZED     0.214706     1.644     0.1306     475.903547  68.044481  111.873570
AGUDUB     0.0819109     1.209     0.0677     300.652057  28.542757  34.517772
AGUPIC     0.104893     1.469     0.0714     17.206241  4.654610  6.837409
AGUTEC     0.428616     1.009     0.4250     1350.962068  303.909806  306.530028
AGUVII     0.393781     1.033     0.3814     680.671507  187.274385  193.373309
AHAFEV     0.28215     1.236     0.2283     877.329018  266.976971  329.904708
AHAMAY     0.207378     2.336     0.0888     68.401462  11.722334  27.388184
AHAYUF     0.368053     1.225     0.3004     3399.409965  603.537399  739.420373
AHEHAY     0.413551     1.625     0.2544     589.614168  158.704506  257.962613
AHEHEC     0.414597     1.641     0.2526     586.855929  157.176802  257.943992
AHEKED     0.432433     1.709     0.2531     163.482949  38.130221  65.146697
AHENOS     0.153289     1.354     0.1132     296.925048  56.696143  76.776208
AHINIP     0.195633     1.256     0.1557     214.577025  46.741802  58.728481
AHIPEN     0.35597     1.432     0.2486     1818.606284  575.393377  823.822036
AHOBEG     0.239361     1.422     0.1683     121.340976  26.382487  37.520627
AHOLAK01     0.590654     0.834     0.7080     2949.237862  1353.926092  1129.528333
AHOMOB01     0.386432     1.269     0.3045     617.749288  172.671551  219.141158
AHORUL     0.116004     1.597     0.0726     1389.993058  111.338755  177.853488
AHOSEV     0.594423     0.941     0.6320     5251.300932  1799.882662  1692.987274
AHOSUL     0.588655     0.962     0.6117     5072.296178  1725.970167  1660.860280
AHOZIG     0.242596     1.318     0.1841     682.871038  100.063670  131.847000
AHOZII     0.541564     0.952     0.5691     4116.100135  945.765128  900.077250
