Refcode  Volume(A3) Mass(g/mol) Density(g/cm3)  FHe,T(-) FG,T(-) FHe,A(-) FG,A(-)  SAC,T(A2) SAC,T(m2/cm3) SAC,T(m2/g) SAC,A(A2) SAC,A(m2/cm3) SAC,A(m2/g)  VPO,T(A3) VPO,T(cm3/g) FPO,T(-) VPO,A(A3) VPO,A(cm3/g) FPO,A(-)  Accesibility Porosity   PLD(A) LCD(A)     Dimensionality     Year
ACAGAM    30656.715  43274.520  2.344      0.130389  0.373704  0.130389  0.373704      214.70  70.03  29.88  0.00  0.00  0.00      3291.46856  0.046  0.10737  0.00000  0.000  0.00000       No  No  2.08  4.79  1D    2001
ACAJOF    19148.270  14042.544  1.218      0.361340  0.459302  0.361340  0.459302      1401.54  731.94  601.05  1400.22  731.25  600.49      5597.91893  0.240  0.29235  5528.43965  0.237  0.28872       Yes  Yes  5.63  6.37  1D    2013
ACASUT    44974.116  28755.648  1.062      0.639495  0.659796  0.639495  0.659796      5726.13  1273.21  1199.19  5775.19  1284.11  1209.47      27240.50231  0.570  0.60569  27231.60018  0.570  0.60549       Yes  Yes  4.05  5.72  1D    2005
ACATAB    62172.565  22328.461  0.596      0.764238  0.759195  0.764238  0.759195      11002.08  1769.60  2967.34  10959.14  1762.70  2955.76      44066.99892  1.189  0.70879  44189.72192  1.192  0.71076       Yes  Yes  7.29  8.46  1D    2013
ACATIJ    30626.448  25119.518  1.362      0.297113  0.454411  0.297113  0.454411      824.87  269.33  197.75  290.18  94.75  69.57      7068.45526  0.169  0.23080  2332.49282  0.056  0.07616       Yes  Yes  3.20  5.46  1D    2013
ACEGOG    32104.199  27456.408  1.420      0.325417  0.480103  0.325417  0.480103      270.05  84.12  59.23  0.00  0.00  0.00      8762.47761  0.192  0.27294  0.00000  0.000  0.00000       No  No  2.90  4.39  1D    2013
ACEKOK    33183.740  26646.084  1.333      0.346678  0.456593  0.346678  0.456593      1682.47  507.02  380.25  1671.45  503.70  377.76      9336.34241  0.211  0.28135  9436.34218  0.213  0.28437       Yes  Yes  3.85  5.83  1D    2013
ACELIF    22647.277  10347.504  0.759      0.657457  0.646747  0.657457  0.646747      3678.47  1624.24  2140.83  3708.41  1637.46  2158.26      12691.68962  0.739  0.56041  12725.37789  0.741  0.56189       Yes  Yes  6.59  7.86  2D    2013
ACENIF    25592.617  20229.888  1.313      0.328650  0.496895  0.328650  0.496895      1065.58  416.36  317.21  814.83  318.39  242.56      7411.38691  0.221  0.28959  6418.20003  0.191  0.25078       Yes  Yes  3.84  5.11  1D    2002
ACEPIH    31570.273  22557.744  1.186      0.162151  0.408920  0.162151  0.408920      17.47  5.53  4.66  0.00  0.00  0.00      3002.80113  0.080  0.09511  0.00000  0.000  0.00000       No  No  1.47  4.16  1D    2002
