Refcode  VOL(A3) DENS(g/cm3)  FHe,T(-) FG,T(-) FHe,A(-) FG,A(-)  SAC,T(A2) SAC,T(m2/cm3) SAC,T(m2/g) SAC,A(A2) SAC,A(m2/cm3) SAC,A(m2/g)  VPO,T(A3) VPO,T(cm3/g) FPO,T(-) VPO,A(A3) VPO,A(cm3/g) FPO,A(-)  PLD(A)  LCD(A)  LPD(A)   Channels  Dimensionality   Year   
ABAVIJ    2640.77  1.52493    0.151320  0.265080  0  0.26508    3.169  12.001  7.870  0  0  0    335.008  0.083  0.126860  0  0  0    2.22497  4.26088  4.24978  4  1    2004
ABAXIN    2173.96  1.47528    0.132660  0.240620  0  0.23744    1.844  8.480  5.748  0  0  0    214.222  0.067  0.098540  0  0  0    1.31670  4.36554  4.13192  0  0    2016
ABAZAF01    2262.2  1.25588    0.223820  0.325000  0  0.323    14.514  64.157  51.085  0  0  0    450.901  0.159  0.199320  0  0  0    1.42316  4.61325  4.61325  0  0    2013
ABAZAF    2259.27  1.25751    0.214120  0.326000  0  0.3221    13.807  61.112  48.597  0  0  0    413.402  0.146  0.182980  0  0  0    1.64138  4.39884  4.35346  0  0    2004
ABAZEI    2944.88  1.11032    0.166700  0.281460  0  0.27948    2.925  9.934  8.947  0  0  0    413.167  0.126  0.140300  0  0  0    1.88737  4.21196  4.19189  0  0    2001
ABEFUL    2329.31  1.55108    0.176420  0.291860  0.16716  0.29006    13.980  60.020  38.696  0  0  0    313.292  0.087  0.134500  0  0  0    3.03973  4.57567  4.57567  2  1    2016
ABEXEM    2633.04  1.89715    0.216580  0.318760  0.21658  0.31876    3.539  13.440  7.084  0  0  0    301.431  0.060  0.114480  0  0  0    3.15007  4.25111  4.25042  2  1    2011
ABEXIQ    2602.59  1.92553    0.214100  0.316140  0.2141  0.31614    0.599  2.303  1.196  0  0  0    293.000  0.058  0.112580  0  0  0    3.19896  4.17055  4.17055  2  1    2011
ABIREJ    514.197  1.49215    0.279100  0.387980  0.2791  0.38798    0.341  6.641  4.450  0  0  0    117.813  0.154  0.229120  0  0  0    3.08380  4.23764  4.23764  1  1    2005
ABIXEP    4515.97  1.48673    0.377660  0.428460  0.37766  0.40666    388.368  859.987  578.441  239.859  531.135  357.25    1636.590  0.244  0.362400  1636.59  0.243756  0.3624    4.69292  6.55431  6.54700  2  2    2005
